name,total_points,position_DEF,GW,team,opponent_team,position_FWD,position_GK,position_MID,game_avg_7,pos_id,initval,rank,diff_from_avg,opp_defense_rank,opp_attack_rank,team_cluster_rank,opp_cluster_rank,was_home,total_points_20
James Rodríguez,3,0,1,7,17,0,0,1,1.7142857142857142,0,75.0,2.0,1.2857142857142858,0,2,2,2,False,3
Timothy Castagne,14,1,1,10,18,0,0,0,5.142857142857143,1,55.0,3.0,8.857142857142858,3,0,0,0,False,14
Angelo Ogbonna,1,1,1,19,14,0,0,0,1.8571428571428572,1,50.0,2.0,-0.8571428571428572,2,1,1,1,True,1
Adam Webster,1,1,1,3,5,0,0,0,1.0,1,45.0,2.0,0.0,0,2,2,2,True,1
Antonio Rüdiger,0,1,1,5,3,0,0,0,1.8571428571428572,1,50.0,2.0,-1.8571428571428572,1,1,1,1,False,0
Jorge Luiz Frello Filho,12,0,1,5,3,0,0,1,3.0,0,50.0,3.0,9.0,1,1,1,1,False,12
Lucas Rodrigues Moura da Silva,2,0,1,17,7,0,0,1,2.2857142857142856,0,70.0,3.0,-0.2857142857142856,1,1,1,1,True,2
Steven Bergwijn,1,0,1,17,7,0,0,1,0.5714285714285714,0,75.0,1.0,0.4285714285714286,1,1,1,1,True,1
Alex Iwobi,0,0,1,7,17,0,0,1,1.7142857142857142,0,60.0,2.0,-1.7142857142857142,0,2,2,2,False,0
Ryan Bertrand,2,1,1,16,6,0,0,0,1.7142857142857142,1,50.0,2.0,0.2857142857142858,3,1,1,1,False,2
Reece James,14,1,1,5,3,0,0,0,3.2857142857142856,1,50.0,3.0,10.714285714285715,1,1,1,1,False,14
Stuart Dallas,3,1,1,9,11,0,0,0,4.0,1,45.0,3.0,-1.0,0,2,2,2,False,3
Liam Cooper,0,1,1,9,11,0,0,0,0.5714285714285714,1,45.0,1.0,-0.5714285714285714,0,2,2,2,False,0
Georginio Wijnaldum,2,0,1,11,10,0,0,1,3.2857142857142856,0,55.0,3.0,-1.2857142857142856,2,2,2,2,True,2
Jan Bednarek,1,1,1,16,6,0,0,0,1.7142857142857142,1,45.0,2.0,-0.7142857142857142,3,1,1,1,False,1
Wilfried Zaha,8,0,1,6,16,0,0,1,3.0,0,70.0,3.0,5.0,3,1,1,1,True,8
Declan Rice,2,0,1,19,14,0,0,1,1.8571428571428572,0,50.0,2.0,0.1428571428571428,2,1,1,1,True,2
Cheikhou Kouyaté,3,0,1,6,16,0,0,1,3.0,0,50.0,3.0,0.0,3,1,1,1,True,3
Ross Barkley,1,0,1,5,3,0,0,1,1.1428571428571428,0,60.0,2.0,-0.1428571428571428,1,1,1,1,False,1
Bobby Decordova-Reid,1,0,1,8,1,1,0,0,2.0,2,55.0,2.0,-1.0,0,1,1,1,True,1
Benjamin Chilwell,0,1,1,5,3,0,0,0,2.2857142857142856,1,55.0,3.0,-2.2857142857142856,1,1,1,1,False,0
James Maddison,1,0,1,10,18,0,0,1,3.142857142857143,0,70.0,3.0,-2.142857142857143,3,0,0,0,False,1
Jarrod Bowen,2,0,1,19,14,0,0,1,3.4285714285714284,0,65.0,3.0,-1.4285714285714284,2,1,1,1,True,2
Oliver Norwood,2,0,1,15,20,0,0,1,1.4285714285714286,0,50.0,2.0,0.5714285714285714,2,0,0,0,True,2
Kyle Walker-Peters,1,1,1,16,6,0,0,0,2.0,1,45.0,2.0,-1.0,3,1,1,1,False,1
Dan Burn,0,1,1,3,5,0,0,0,1.5714285714285714,1,45.0,2.0,-1.5714285714285714,0,2,2,2,True,0
Jack Harrison,7,0,1,9,11,0,0,1,3.4285714285714284,0,55.0,3.0,3.5714285714285716,0,2,2,2,False,7
Dominic Calvert-Lewin,8,0,1,7,17,1,0,0,5.285714285714286,2,70.0,3.0,2.7142857142857144,0,2,2,2,False,8
Miguel Almirón,4,0,1,14,19,0,0,1,2.0,0,60.0,2.0,2.0,1,2,2,2,False,4
Marcos Alonso,2,1,1,5,3,0,0,0,2.5714285714285716,1,60.0,3.0,-0.5714285714285716,1,1,1,1,False,2
Luke Ayling,0,1,1,9,11,0,0,0,1.1428571428571428,1,45.0,2.0,-1.1428571428571428,0,2,2,2,False,0
Eberechi Eze,1,0,1,6,16,0,0,1,2.2857142857142856,0,60.0,3.0,-1.2857142857142856,3,1,1,1,True,1
Jeff Hendrick,14,0,1,14,19,0,0,1,2.2857142857142856,0,50.0,3.0,11.714285714285715,1,2,2,2,False,14
Callum Wilson,8,0,1,14,19,1,0,0,3.857142857142857,2,65.0,3.0,4.142857142857142,1,2,2,2,False,8
Oriol Romeu Vidal,2,0,1,16,6,0,0,1,0.8571428571428571,0,45.0,2.0,1.1428571428571428,3,1,1,1,False,2
César Azpilicueta,1,1,1,5,3,0,0,0,3.857142857142857,1,60.0,3.0,-2.857142857142857,1,1,1,1,False,1
Lukasz Fabianski,1,0,1,19,14,0,1,0,2.2857142857142856,3,50.0,3.0,-1.2857142857142856,2,1,1,1,True,1
Alisson Ramses Becker,1,0,1,11,10,0,1,0,4.571428571428571,3,60.0,3.0,-3.571428571428571,2,2,2,2,True,1
Trent Alexander-Arnold,1,1,1,11,10,0,0,0,3.0,1,75.0,3.0,-2.0,2,2,2,2,True,1
Kalvin Phillips,5,0,1,9,11,0,0,1,1.7142857142857142,0,50.0,2.0,3.2857142857142856,0,2,2,2,False,5
James Justin,9,1,1,10,18,0,0,0,4.571428571428571,1,45.0,3.0,4.428571428571429,3,0,0,0,False,9
Heung-Min Son,2,0,1,17,7,0,0,1,2.5714285714285716,0,90.0,3.0,-0.5714285714285716,1,1,1,1,True,2
Jonny Evans,0,1,1,10,18,0,0,0,4.142857142857143,1,55.0,3.0,-4.142857142857143,3,0,0,0,False,0
Ezgjan Alioski,0,1,1,9,11,0,0,0,1.2857142857142858,1,45.0,2.0,-1.2857142857142858,0,2,2,2,False,0
Allan Saint-Maximin,3,0,1,14,19,0,0,1,2.4285714285714284,0,55.0,3.0,0.5714285714285716,1,2,2,2,False,3
Kyle Bartley,1,1,1,18,9,0,0,0,1.7142857142857142,1,45.0,2.0,-0.7142857142857142,2,2,2,2,True,1
Andrew Robertson,4,1,1,11,10,0,0,0,4.142857142857143,1,70.0,3.0,-0.14285714285714324,2,2,2,2,True,4
Aleksandar Mitrović,1,0,1,8,1,1,0,0,1.8571428571428572,2,60.0,2.0,-0.8571428571428572,0,1,1,1,True,1
Marc Albrighton,1,0,1,10,18,0,0,1,1.4285714285714286,0,55.0,2.0,-0.4285714285714286,3,0,0,0,False,1
Alex McCarthy,2,0,1,16,6,0,1,0,3.0,3,45.0,3.0,-1.0,3,1,1,1,False,2
Yves Bissouma,2,0,1,3,5,0,0,1,1.8571428571428572,0,45.0,2.0,0.1428571428571428,0,2,2,2,True,2
Michail Antonio,2,0,1,19,14,1,0,0,1.7142857142857142,2,65.0,2.0,0.2857142857142858,2,1,1,1,True,2
Antonee Robinson,0,1,1,8,1,0,0,0,0.8571428571428571,1,45.0,2.0,-0.8571428571428571,0,1,1,1,True,0
Leandro Trossard,8,0,1,3,5,0,0,1,3.2857142857142856,0,60.0,3.0,4.714285714285714,0,2,2,2,True,8
Kelechi Iheanacho,0,0,1,10,18,1,0,0,3.2857142857142856,2,60.0,3.0,-3.2857142857142856,3,0,0,0,False,0
Sadio Mané,2,0,1,11,10,0,0,1,4.714285714285714,0,120.0,3.0,-2.7142857142857144,2,2,2,2,True,2
Darnell Furlong,2,1,1,18,9,0,0,0,1.7142857142857142,1,45.0,2.0,0.2857142857142858,2,2,2,2,True,2
Che Adams,2,0,1,16,6,1,0,0,4.714285714285714,2,60.0,3.0,-2.7142857142857144,3,1,1,1,False,2
Timo Werner,5,0,1,5,3,1,0,0,3.2857142857142856,2,95.0,3.0,1.7142857142857144,1,1,1,1,False,5
Kurt Zouma,8,1,1,5,3,0,0,0,3.2857142857142856,1,50.0,3.0,4.714285714285714,1,1,1,1,False,8
Gylfi Sigurdsson,1,0,1,7,17,0,0,1,4.714285714285714,0,70.0,3.0,-3.7142857142857144,0,2,2,2,False,1
Rodrigo Moreno,1,0,1,9,11,1,0,0,2.0,2,60.0,2.0,-1.0,0,2,2,2,False,1
Kai Havertz,2,0,1,5,3,0,0,1,2.4285714285714284,0,85.0,3.0,-0.4285714285714284,1,1,1,1,False,2
Sam Johnstone,2,0,1,18,9,0,1,0,3.2857142857142856,3,45.0,3.0,-1.2857142857142856,2,2,2,2,True,2
Joel Ward,6,1,1,6,16,0,0,0,1.7142857142857142,1,45.0,2.0,4.285714285714286,3,1,1,1,True,6
Kasper Schmeichel,6,0,1,10,18,0,1,0,4.0,3,55.0,3.0,2.0,3,0,0,0,False,6
Aaron Cresswell,1,1,1,19,14,0,0,0,3.2857142857142856,1,50.0,3.0,-2.2857142857142856,2,1,1,1,True,1
Fabio Henrique Tavares,4,0,1,11,10,0,0,1,1.7142857142857142,0,55.0,2.0,2.2857142857142856,2,2,2,2,True,4
Jordan Pickford,8,0,1,7,17,0,1,0,3.2857142857142856,3,50.0,3.0,4.714285714285714,0,2,2,2,False,8
Pablo Fornals,2,0,1,19,14,0,0,1,3.2857142857142856,0,65.0,3.0,-1.2857142857142856,2,1,1,1,True,2
Joelinton Cássio Apolinário de Lira,1,0,1,14,19,1,0,0,2.4285714285714284,2,60.0,3.0,-1.4285714285714284,1,2,2,2,False,1
George Baldock,1,1,1,15,20,0,0,0,2.0,1,55.0,2.0,-1.0,2,0,0,0,True,1
Eric Dier,2,1,1,17,7,0,0,0,1.1428571428571428,1,50.0,2.0,0.8571428571428572,1,1,1,1,True,2
Michael Keane,6,1,1,7,17,0,0,0,3.2857142857142856,1,50.0,3.0,2.7142857142857144,0,2,2,2,False,6
André-Frank Zambo Anguissa,1,0,1,8,1,0,0,1,1.4285714285714286,0,45.0,2.0,-0.4285714285714286,0,1,1,1,True,1
